sl_no,gender,ssc_p,ssc_b,hsc_p,hsc_b,hsc_s,degree_p,degree_t,workex,etest_p,specialisation,mba_p,status,salary
3498,M,88.16,Others,70.61,Central,Science,75.17,Comm&Mgmt,Yes,98.0,Mkt&HR,77.89,Placed,
3499,M,67.97,Central,49.98,Others,Science,67.14,Others,No,82.48,Mkt&Fin,70.74,Not Placed,273868.0
3500,M,40.89,Others,72.24,Others,Science,62.47,Comm&Mgmt,No,98.0,Mkt&HR,59.94,Not Placed,
3501,M,78.04,Others,69.23,Central,Science,65.46,Others,No,98.0,Mkt&HR,57.04,Placed,
3502,M,89.4,Central,66.16,Central,Commerce,89.0,Comm&Mgmt,No,83.75,Mkt&HR,77.89,Placed,324152.0
3503,M,40.89,Others,85.13,Others,Commerce,61.3,Comm&Mgmt,Yes,98.0,Mkt&Fin,69.99,Not Placed,272536.0
3504,M,66.62,Others,70.62,Others,Science,81.89,Sci&Tech,No,98.0,Mkt&HR,77.89,Placed,
3505,M,45.13,Others,55.13,Others,Science,74.74,Comm&Mgmt,No,98.0,Mkt&HR,74.56,Placed,253261.0
3506,M,40.89,Others,59.78,Others,Commerce,91.0,Sci&Tech,No,98.0,Mkt&Fin,69.55,Placed,200000.0
3507,M,80.04,Central,86.02,Central,Commerce,91.0,Comm&Mgmt,No,64.07,Mkt&Fin,65.48,Not Placed,850317.0
3508,M,89.4,Central,85.42,Others,Science,56.71,Sci&Tech,Yes,98.0,Mkt&Fin,77.89,Not Placed,531066.0
3509,F,49.29,Central,68.4,Others,Science,79.03,Sci&Tech,Yes,87.78,Mkt&HR,77.89,Placed,256347.0
3510,F,64.34,Others,71.95,Others,Science,67.96,Comm&Mgmt,No,98.0,Mkt&Fin,67.57,Not Placed,265125.0
3511,M,43.58,Central,49.21,Others,Commerce,54.92,Comm&Mgmt,No,98.0,Mkt&HR,77.89,Placed,
3512,M,75.57,Central,73.48,Central,Commerce,86.53,Sci&Tech,Yes,98.0,Mkt&Fin,77.89,Placed,281838.0
3513,M,49.79,Central,53.42,Central,Science,57.65,Comm&Mgmt,No,98.0,Mkt&HR,71.92,Not Placed,
3514,M,60.64,Central,48.89,Central,Science,91.0,Comm&Mgmt,No,98.0,Mkt&HR,65.46,Not Placed,
3515,M,68.73,Others,51.36,Others,Commerce,85.93,Others,No,98.0,Mkt&Fin,77.89,Not Placed,
3516,M,67.83,Central,54.58,Central,Commerce,76.19,Comm&Mgmt,No,98.0,Mkt&Fin,67.45,Not Placed,
3517,M,89.19,Central,72.32,Central,Science,86.66,Sci&Tech,No,98.0,Mkt&Fin,70.49,Not Placed,322071.0
3518,M,61.52,Others,75.37,Others,Arts,78.93,Comm&Mgmt,No,89.45,Mkt&HR,77.89,Placed,591221.0
3519,M,48.93,Central,60.7,Central,Commerce,52.01,Comm&Mgmt,No,80.81,Mkt&Fin,77.89,Placed,
3520,M,89.4,Others,90.63,Central,Commerce,77.02,Comm&Mgmt,No,98.0,Mkt&Fin,61.13,Not Placed,
3521,M,64.13,Others,58.05,Others,Commerce,59.81,Comm&Mgmt,No,98.0,Mkt&Fin,64.24,Not Placed,310495.0
3522,M,89.4,Others,74.44,Others,Science,82.28,Comm&Mgmt,No,80.04,Mkt&Fin,57.75,Not Placed,200000.0
3523,M,88.65,Others,85.83,Others,Commerce,83.18,Comm&Mgmt,No,73.05,Mkt&HR,57.34,Not Placed,263139.0
3524,M,52.25,Others,89.41,Central,Science,70.12,Comm&Mgmt,No,98.0,Mkt&Fin,54.61,Placed,250834.0
3525,M,40.89,Central,78.77,Central,Science,60.99,Sci&Tech,No,98.0,Mkt&Fin,75.09,Not Placed,
3526,M,49.08,Central,72.3,Central,Science,69.49,Sci&Tech,No,81.69,Mkt&Fin,63.95,Placed,260534.0
3527,M,40.89,Others,37.0,Others,Commerce,50.0,Comm&Mgmt,No,84.54,Mkt&HR,77.89,Not Placed,
3528,M,41.52,Others,58.73,Central,Science,50.0,Comm&Mgmt,No,98.0,Mkt&HR,68.38,Not Placed,
3529,M,67.84,Central,56.13,Central,Commerce,86.88,Comm&Mgmt,Yes,92.75,Mkt&HR,72.01,Not Placed,290456.0
3530,M,61.15,Others,37.51,Others,Commerce,86.54,Comm&Mgmt,No,98.0,Mkt&Fin,70.94,Placed,
3531,M,89.23,Others,74.61,Others,Arts,83.89,Comm&Mgmt,No,98.0,Mkt&Fin,66.85,Placed,314997.0
3532,M,84.28,Central,37.0,Others,Commerce,81.53,Comm&Mgmt,No,72.21,Mkt&HR,77.89,Not Placed,321811.0
3533,F,48.78,Central,52.62,Others,Commerce,79.53,Others,No,98.0,Mkt&Fin,71.77,Not Placed,310338.0
3534,F,42.06,Others,51.17,Others,Science,74.58,Comm&Mgmt,Yes,85.06,Mkt&Fin,62.55,Placed,
3535,M,83.84,Others,79.41,Central,Science,68.05,Comm&Mgmt,No,84.92,Mkt&Fin,77.17,Placed,
3536,F,89.4,Central,56.82,Central,Science,87.71,Comm&Mgmt,No,65.53,Mkt&Fin,77.89,Placed,327932.0
3537,M,72.52,Others,37.0,Central,Commerce,81.07,Comm&Mgmt,No,70.89,Mkt&Fin,77.89,Placed,
3538,M,89.4,Others,91.13,Others,Science,89.27,Comm&Mgmt,No,84.62,Mkt&HR,77.89,Not Placed,333591.0
3539,M,59.68,Others,86.39,Central,Science,50.0,Sci&Tech,No,83.97,Mkt&HR,64.46,Not Placed,
3540,M,59.21,Others,68.26,Others,Science,67.61,Sci&Tech,No,97.94,Mkt&Fin,77.89,Not Placed,330378.0
3541,M,68.56,Others,80.43,Others,Science,81.66,Sci&Tech,No,53.97,Mkt&HR,56.64,Placed,280425.0
3542,M,52.38,Central,87.23,Others,Science,59.9,Comm&Mgmt,No,82.23,Mkt&HR,72.35,Not Placed,
3543,M,78.92,Others,53.72,Central,Science,63.68,Comm&Mgmt,No,98.0,Mkt&Fin,64.87,Placed,
3544,F,58.17,Others,58.56,Central,Science,74.44,Comm&Mgmt,No,98.0,Mkt&HR,69.56,Placed,324937.0
3545,M,52.89,Central,44.34,Others,Science,53.2,Sci&Tech,No,72.8,Mkt&HR,66.59,Not Placed,264127.0
3546,M,82.94,Others,86.31,Others,Science,77.98,Sci&Tech,No,57.76,Mkt&Fin,64.86,Placed,
3547,M,71.1,Central,77.95,Central,Science,86.94,Sci&Tech,Yes,69.85,Mkt&Fin,76.76,Not Placed,
3548,M,79.42,Central,63.52,Others,Commerce,89.18,Comm&Mgmt,No,74.15,Mkt&Fin,68.62,Placed,312403.0
3549,M,73.54,Central,70.65,Central,Science,61.44,Sci&Tech,No,90.92,Mkt&HR,65.87,Placed,299126.0
3550,M,89.4,Central,75.49,Central,Science,82.83,Sci&Tech,Yes,81.05,Mkt&HR,62.71,Placed,261427.0
3551,M,78.32,Central,75.64,Central,Science,59.14,Comm&Mgmt,No,98.0,Mkt&Fin,70.67,Placed,
3552,M,51.74,Central,53.34,Central,Science,59.89,Comm&Mgmt,No,98.0,Mkt&HR,77.89,Placed,284761.0
3553,M,83.98,Central,73.36,Others,Science,78.67,Comm&Mgmt,No,78.34,Mkt&HR,66.99,Not Placed,329107.0
3554,M,40.89,Others,44.37,Others,Science,69.76,Sci&Tech,Yes,69.15,Mkt&Fin,76.59,Not Placed,
3555,M,69.22,Central,37.0,Central,Commerce,79.41,Comm&Mgmt,No,74.28,Mkt&Fin,77.89,Placed,
3556,M,77.55,Others,62.08,Others,Commerce,83.63,Sci&Tech,No,98.0,Mkt&Fin,70.33,Not Placed,339363.0
3557,M,61.35,Others,68.62,Others,Science,82.77,Comm&Mgmt,No,61.7,Mkt&Fin,69.62,Placed,255430.0
3558,M,63.8,Others,85.27,Others,Science,63.0,Comm&Mgmt,No,98.0,Mkt&HR,77.89,Not Placed,
3559,M,52.61,Others,58.06,Others,Science,68.86,Comm&Mgmt,No,74.19,Mkt&Fin,75.23,Not Placed,
3560,F,56.32,Central,73.08,Central,Science,51.34,Comm&Mgmt,No,83.29,Mkt&Fin,63.1,Not Placed,
3561,M,89.4,Others,60.04,Central,Science,87.63,Comm&Mgmt,Yes,98.0,Mkt&Fin,77.89,Placed,345072.0
3562,M,48.79,Others,62.92,Central,Commerce,57.22,Comm&Mgmt,No,98.0,Mkt&HR,63.62,Not Placed,
3563,M,50.37,Others,51.65,Others,Science,54.78,Comm&Mgmt,No,71.88,Mkt&Fin,73.72,Not Placed,234206.0
3564,M,73.33,Central,56.57,Central,Science,77.8,Sci&Tech,No,98.0,Mkt&Fin,61.42,Not Placed,257821.0
3565,M,78.45,Central,51.03,Others,Commerce,83.71,Comm&Mgmt,No,98.0,Mkt&HR,77.89,Placed,316615.0
3566,M,50.22,Central,67.45,Central,Commerce,84.61,Comm&Mgmt,No,64.63,Mkt&Fin,66.32,Not Placed,
3567,M,60.27,Central,51.72,Others,Science,80.99,Comm&Mgmt,No,98.0,Mkt&HR,77.89,Placed,
3568,M,87.62,Others,56.71,Central,Science,82.07,Comm&Mgmt,Yes,71.61,Mkt&Fin,74.29,Placed,331848.0
3569,M,89.4,Others,79.03,Others,Science,86.66,Comm&Mgmt,No,68.95,Mkt&Fin,77.89,Placed,331717.0
3570,M,70.91,Others,79.33,Central,Science,86.18,Comm&Mgmt,No,66.38,Mkt&HR,64.81,Not Placed,443134.0
3571,F,61.99,Others,58.21,Others,Commerce,75.95,Comm&Mgmt,Yes,98.0,Mkt&Fin,77.89,Not Placed,250324.0
3572,M,40.89,Central,39.26,Central,Commerce,62.99,Sci&Tech,Yes,98.0,Mkt&HR,66.58,Not Placed,255407.0
3573,M,40.89,Central,49.21,Central,Science,64.08,Comm&Mgmt,Yes,50.0,Mkt&HR,68.14,Not Placed,
3574,M,40.89,Others,72.48,Central,Commerce,52.52,Comm&Mgmt,No,78.32,Mkt&Fin,77.89,Placed,277881.0
3575,M,86.73,Others,55.13,Central,Commerce,64.44,Comm&Mgmt,No,82.56,Mkt&Fin,66.89,Placed,293682.0
3576,M,87.98,Central,62.23,Central,Science,83.6,Sci&Tech,No,98.0,Mkt&Fin,68.63,Placed,323293.0
3577,M,52.96,Others,79.12,Central,Science,70.45,Others,Yes,98.0,Mkt&Fin,71.42,Not Placed,
3578,M,70.47,Others,57.43,Central,Science,63.46,Comm&Mgmt,No,91.63,Mkt&HR,77.89,Not Placed,
3579,M,87.25,Central,59.17,Central,Science,86.56,Sci&Tech,No,73.83,Mkt&HR,74.24,Not Placed,
3580,M,89.4,Central,54.86,Central,Science,80.18,Comm&Mgmt,Yes,88.0,Mkt&Fin,61.03,Placed,200000.0
3581,F,70.13,Central,43.12,Central,Science,88.22,Comm&Mgmt,No,98.0,Mkt&HR,62.92,Placed,
3582,M,64.51,Others,37.0,Others,Arts,80.62,Comm&Mgmt,No,82.7,Mkt&HR,73.73,Placed,
3583,M,41.21,Central,48.73,Others,Science,73.93,Comm&Mgmt,Yes,60.72,Mkt&Fin,66.79,Placed,
3584,M,89.4,Others,78.82,Others,Arts,69.45,Sci&Tech,No,98.0,Mkt&HR,77.89,Placed,329215.0
3585,M,51.43,Central,75.62,Central,Commerce,50.0,Comm&Mgmt,No,61.4,Mkt&HR,77.55,Placed,264964.0
3586,M,89.4,Central,68.57,Central,Science,84.75,Comm&Mgmt,No,98.0,Mkt&Fin,59.29,Placed,
3587,M,86.85,Others,79.51,Central,Science,86.21,Comm&Mgmt,No,79.82,Mkt&Fin,66.1,Not Placed,468907.0
3588,F,68.13,Others,46.07,Central,Commerce,69.01,Comm&Mgmt,No,98.0,Mkt&Fin,60.04,Placed,
3589,M,72.25,Others,63.27,Central,Commerce,55.73,Sci&Tech,Yes,98.0,Mkt&HR,58.13,Placed,
3590,M,58.03,Central,63.86,Central,Science,78.24,Sci&Tech,No,98.0,Mkt&Fin,56.88,Placed,263194.0
3591,M,61.2,Others,71.35,Central,Science,64.07,Comm&Mgmt,Yes,98.0,Mkt&Fin,77.89,Not Placed,308337.0
3592,M,66.01,Central,47.06,Central,Science,65.25,Comm&Mgmt,No,98.0,Mkt&HR,66.64,Not Placed,
3593,M,67.76,Others,53.54,Others,Science,73.29,Comm&Mgmt,No,98.0,Mkt&Fin,71.38,Not Placed,
3594,M,81.04,Others,58.42,Central,Commerce,76.6,Sci&Tech,No,58.24,Mkt&Fin,51.21,Placed,
3595,M,48.0,Central,48.23,Central,Science,65.41,Comm&Mgmt,No,98.0,Mkt&Fin,77.89,Not Placed,
3596,M,89.4,Others,69.35,Others,Science,79.06,Comm&Mgmt,No,96.23,Mkt&Fin,68.35,Placed,228915.0
3597,M,59.05,Others,53.94,Others,Commerce,79.84,Comm&Mgmt,No,50.0,Mkt&Fin,76.22,Not Placed,
3598,M,55.26,Others,69.33,Central,Arts,75.65,Comm&Mgmt,No,72.81,Mkt&Fin,66.79,Placed,
3599,F,47.03,Others,68.24,Others,Science,56.0,Comm&Mgmt,Yes,98.0,Mkt&HR,62.76,Not Placed,258850.0
3600,F,89.4,Others,89.02,Others,Science,82.3,Sci&Tech,No,98.0,Mkt&HR,77.89,Placed,295656.0
3601,M,52.49,Others,77.77,Others,Science,64.08,Sci&Tech,No,72.61,Mkt&Fin,58.04,Placed,
3602,M,66.24,Others,51.65,Central,Commerce,79.12,Sci&Tech,No,74.52,Mkt&Fin,53.45,Not Placed,255780.0
3603,M,83.34,Central,42.57,Others,Science,88.16,Comm&Mgmt,No,98.0,Mkt&Fin,61.91,Placed,281619.0
3604,M,55.43,Central,70.49,Others,Commerce,54.1,Sci&Tech,No,90.99,Mkt&Fin,71.04,Not Placed,309751.0
3605,M,44.05,Central,37.0,Central,Science,67.63,Comm&Mgmt,Yes,98.0,Mkt&HR,77.89,Placed,
3606,F,69.63,Central,62.89,Others,Commerce,88.35,Comm&Mgmt,Yes,74.21,Mkt&HR,54.19,Not Placed,
3607,M,89.4,Central,95.45,Central,Science,73.34,Comm&Mgmt,No,87.76,Mkt&Fin,76.81,Not Placed,
3608,M,80.77,Central,88.03,Central,Science,88.66,Comm&Mgmt,No,98.0,Mkt&Fin,74.83,Not Placed,
3609,M,49.77,Others,41.63,Others,Science,50.0,Comm&Mgmt,No,98.0,Mkt&Fin,73.38,Not Placed,
3610,M,70.6,Others,55.5,Central,Science,76.71,Comm&Mgmt,No,71.44,Mkt&HR,69.11,Not Placed,
3611,M,72.1,Central,77.58,Central,Science,67.94,Comm&Mgmt,No,64.8,Mkt&HR,62.31,Not Placed,453724.0
3612,M,69.61,Central,85.4,Others,Science,91.0,Comm&Mgmt,No,98.0,Mkt&Fin,66.82,Not Placed,257131.0
3613,M,42.57,Central,37.0,Central,Commerce,79.33,Comm&Mgmt,No,62.89,Mkt&Fin,59.05,Not Placed,263081.0
3614,M,85.12,Others,56.92,Others,Commerce,91.0,Sci&Tech,No,98.0,Mkt&Fin,77.1,Not Placed,303086.0
3615,M,89.4,Central,58.94,Others,Commerce,81.42,Comm&Mgmt,No,98.0,Mkt&Fin,58.92,Placed,
3616,F,73.0,Others,68.48,Others,Commerce,50.0,Sci&Tech,No,95.25,Mkt&Fin,77.89,Not Placed,
3617,M,40.89,Central,60.82,Central,Science,69.9,Comm&Mgmt,No,88.2,Mkt&HR,69.6,Not Placed,313739.0
3618,M,78.99,Central,75.61,Central,Commerce,85.92,Comm&Mgmt,No,98.0,Mkt&Fin,75.94,Placed,294796.0
3619,M,81.02,Others,37.0,Central,Science,74.43,Others,No,98.0,Mkt&Fin,77.89,Placed,281719.0
3620,M,85.91,Others,53.65,Central,Science,54.25,Comm&Mgmt,No,72.28,Mkt&Fin,54.84,Not Placed,200000.0
3621,M,63.07,Central,50.91,Central,Science,53.23,Sci&Tech,Yes,98.0,Mkt&HR,54.21,Not Placed,276111.0
3622,F,87.4,Central,38.79,Central,Science,87.32,Comm&Mgmt,No,66.55,Mkt&Fin,54.17,Placed,
3623,M,66.1,Central,77.92,Central,Commerce,77.04,Comm&Mgmt,No,94.57,Mkt&Fin,77.89,Not Placed,602936.0
3624,M,80.23,Others,84.01,Others,Commerce,89.95,Sci&Tech,No,98.0,Mkt&Fin,76.04,Not Placed,319311.0
3625,M,50.63,Others,84.99,Others,Commerce,79.86,Sci&Tech,No,80.95,Mkt&HR,67.12,Placed,
3626,M,65.85,Others,71.82,Others,Science,67.61,Comm&Mgmt,Yes,98.0,Mkt&Fin,65.69,Placed,
3627,M,89.4,Central,62.85,Central,Science,88.31,Comm&Mgmt,Yes,80.28,Mkt&HR,68.27,Placed,219852.0
3628,M,66.71,Others,61.33,Central,Commerce,61.8,Sci&Tech,No,98.0,Mkt&Fin,73.91,Not Placed,250852.0
3629,M,40.89,Others,69.59,Central,Commerce,67.97,Comm&Mgmt,No,57.38,Mkt&HR,67.4,Placed,
3630,M,53.62,Central,66.64,Others,Science,52.35,Comm&Mgmt,No,89.91,Mkt&Fin,77.89,Not Placed,
3631,F,88.49,Others,66.8,Central,Science,59.13,Comm&Mgmt,No,62.71,Mkt&Fin,77.89,Placed,
3632,M,79.55,Others,63.92,Central,Science,56.92,Comm&Mgmt,No,98.0,Mkt&HR,77.89,Not Placed,
3633,M,58.81,Others,67.2,Central,Science,52.12,Comm&Mgmt,No,98.0,Mkt&Fin,77.89,Placed,327269.0
3634,M,89.4,Central,75.1,Central,Science,91.0,Comm&Mgmt,No,98.0,Mkt&Fin,51.94,Not Placed,200000.0
3635,M,86.01,Central,57.64,Central,Commerce,73.46,Comm&Mgmt,Yes,71.26,Mkt&HR,77.89,Not Placed,
3636,M,48.73,Central,61.71,Central,Commerce,53.9,Comm&Mgmt,No,98.0,Mkt&Fin,70.61,Not Placed,
3637,M,80.37,Others,41.06,Central,Science,82.3,Comm&Mgmt,No,98.0,Mkt&HR,61.63,Not Placed,297510.0
3638,M,75.46,Others,47.57,Central,Science,83.56,Comm&Mgmt,Yes,71.37,Mkt&HR,64.91,Not Placed,200000.0
3639,M,89.39,Others,37.0,Central,Commerce,78.43,Comm&Mgmt,Yes,98.0,Mkt&HR,65.6,Placed,302695.0
3640,M,40.89,Others,72.05,Others,Science,63.95,Comm&Mgmt,Yes,96.32,Mkt&Fin,75.18,Placed,
3641,M,69.51,Others,68.69,Central,Commerce,72.73,Comm&Mgmt,No,98.0,Mkt&Fin,77.89,Not Placed,
3642,M,67.95,Central,51.45,Central,Science,71.42,Comm&Mgmt,No,98.0,Mkt&Fin,68.29,Not Placed,200198.0
3643,M,57.08,Others,67.4,Others,Commerce,74.06,Sci&Tech,No,98.0,Mkt&HR,70.64,Placed,
3644,M,40.89,Central,66.7,Others,Science,50.0,Comm&Mgmt,No,98.0,Mkt&HR,69.28,Not Placed,
3645,F,84.96,Central,63.32,Central,Science,88.69,Comm&Mgmt,No,80.53,Mkt&Fin,61.06,Not Placed,299096.0
3646,M,89.16,Others,69.3,Central,Science,80.61,Comm&Mgmt,No,97.58,Mkt&Fin,62.73,Placed,259641.0
3647,M,40.89,Central,55.34,Central,Science,71.51,Comm&Mgmt,No,65.62,Mkt&HR,77.61,Not Placed,323449.0
3648,M,71.24,Others,80.96,Others,Commerce,91.0,Others,No,98.0,Mkt&HR,57.68,Not Placed,
3649,M,76.16,Central,73.0,Central,Science,85.86,Comm&Mgmt,No,98.0,Mkt&Fin,71.02,Placed,200000.0
3650,M,40.89,Others,74.73,Central,Science,50.0,Sci&Tech,No,98.0,Mkt&HR,70.69,Placed,
3651,M,73.28,Central,50.38,Central,Commerce,69.99,Comm&Mgmt,Yes,98.0,Mkt&HR,58.98,Not Placed,
3652,M,55.3,Central,97.7,Others,Science,50.91,Comm&Mgmt,No,98.0,Mkt&Fin,64.88,Placed,316717.0
3653,F,85.17,Central,55.89,Others,Science,65.63,Sci&Tech,No,88.05,Mkt&Fin,77.89,Placed,260870.0
3654,M,77.85,Others,83.11,Central,Science,72.91,Comm&Mgmt,No,98.0,Mkt&HR,77.89,Placed,465074.0
3655,M,74.66,Central,76.12,Others,Arts,89.4,Comm&Mgmt,No,96.17,Mkt&Fin,69.94,Placed,200000.0
3656,M,87.0,Others,85.22,Central,Science,64.53,Comm&Mgmt,No,69.19,Mkt&HR,64.87,Not Placed,
3657,M,89.4,Central,80.01,Others,Commerce,90.73,Comm&Mgmt,No,69.52,Mkt&HR,61.85,Placed,314094.0
3658,M,51.41,Others,80.18,Others,Commerce,61.62,Comm&Mgmt,Yes,98.0,Mkt&HR,71.36,Placed,312644.0
3659,M,63.77,Others,63.39,Others,Science,71.43,Comm&Mgmt,No,77.61,Mkt&HR,75.13,Not Placed,292262.0
3660,M,61.85,Central,60.37,Others,Commerce,83.86,Comm&Mgmt,No,98.0,Mkt&HR,69.26,Not Placed,
3661,M,76.32,Central,47.62,Others,Science,66.42,Comm&Mgmt,No,98.0,Mkt&HR,60.64,Placed,
3662,M,40.89,Others,40.26,Others,Commerce,86.2,Sci&Tech,No,98.0,Mkt&Fin,70.39,Not Placed,259789.0
3663,M,47.91,Others,53.52,Central,Science,91.0,Comm&Mgmt,Yes,89.21,Mkt&Fin,76.23,Placed,
3664,M,41.26,Others,60.23,Others,Science,67.12,Sci&Tech,No,71.94,Mkt&Fin,77.89,Placed,260517.0
3665,M,82.71,Others,66.39,Central,Commerce,50.0,Comm&Mgmt,Yes,93.44,Mkt&HR,66.26,Not Placed,
3666,M,79.94,Central,90.81,Central,Science,84.31,Sci&Tech,No,85.95,Mkt&HR,75.54,Not Placed,331305.0
3667,M,58.53,Central,64.03,Others,Science,85.02,Comm&Mgmt,Yes,89.38,Mkt&HR,64.36,Placed,303880.0
3668,M,79.89,Others,70.41,Others,Commerce,68.53,Comm&Mgmt,Yes,98.0,Mkt&Fin,77.89,Placed,301617.0
3669,M,77.68,Central,65.82,Others,Science,57.85,Comm&Mgmt,No,98.0,Mkt&HR,68.81,Placed,
3670,M,86.21,Others,62.91,Central,Science,79.95,Comm&Mgmt,Yes,65.6,Mkt&Fin,62.06,Placed,274967.0
3671,M,40.89,Central,45.37,Central,Commerce,91.0,Comm&Mgmt,No,98.0,Mkt&HR,67.61,Not Placed,265052.0
3672,M,41.91,Others,79.71,Central,Science,66.51,Comm&Mgmt,No,98.0,Mkt&HR,60.79,Not Placed,
3673,F,89.4,Others,37.0,Others,Science,88.23,Sci&Tech,No,98.0,Mkt&HR,77.89,Not Placed,308200.0
3674,M,76.0,Others,84.83,Central,Science,87.71,Sci&Tech,No,82.67,Mkt&Fin,65.14,Placed,297179.0
3675,M,87.9,Others,49.09,Central,Commerce,85.24,Comm&Mgmt,Yes,97.8,Mkt&Fin,77.89,Placed,246952.0
3676,M,40.89,Central,61.1,Others,Commerce,62.47,Others,No,60.38,Mkt&HR,74.0,Placed,
3677,M,47.95,Others,37.0,Central,Science,80.96,Others,No,98.0,Mkt&HR,59.72,Not Placed,
3678,M,87.26,Others,50.39,Central,Science,87.85,Comm&Mgmt,Yes,71.0,Mkt&Fin,66.73,Placed,349249.0
3679,M,57.19,Central,92.18,Central,Commerce,57.52,Comm&Mgmt,No,79.97,Mkt&Fin,77.38,Not Placed,
3680,M,60.92,Others,48.77,Others,Science,61.38,Comm&Mgmt,No,78.82,Mkt&Fin,55.98,Not Placed,
3681,F,71.25,Others,85.94,Others,Science,54.84,Comm&Mgmt,No,98.0,Mkt&Fin,57.18,Not Placed,
3682,M,65.63,Others,81.8,Others,Science,89.1,Sci&Tech,No,66.51,Mkt&HR,66.77,Placed,
3683,M,40.89,Others,38.5,Central,Commerce,60.84,Sci&Tech,No,63.68,Mkt&Fin,61.15,Placed,228122.0
3684,M,60.84,Central,37.0,Central,Science,76.17,Comm&Mgmt,Yes,98.0,Mkt&Fin,63.8,Not Placed,
3685,M,84.19,Others,82.33,Central,Science,80.17,Comm&Mgmt,No,98.0,Mkt&HR,77.89,Placed,
3686,M,60.02,Central,80.29,Others,Science,76.91,Others,No,76.03,Mkt&HR,64.95,Not Placed,
3687,M,77.0,Others,65.9,Central,Science,91.0,Comm&Mgmt,No,98.0,Mkt&Fin,54.51,Placed,206441.0
3688,M,78.39,Others,91.22,Others,Science,59.98,Others,Yes,73.87,Mkt&Fin,57.11,Placed,308932.0
3689,M,89.4,Others,83.11,Others,Science,84.16,Comm&Mgmt,Yes,98.0,Mkt&HR,77.89,Placed,200000.0
3690,F,40.89,Central,73.3,Others,Science,57.56,Comm&Mgmt,No,98.0,Mkt&HR,65.07,Placed,
3691,M,40.89,Central,57.11,Others,Science,67.5,Comm&Mgmt,Yes,59.62,Mkt&HR,77.89,Placed,
3692,M,89.4,Others,68.75,Central,Arts,81.76,Sci&Tech,No,98.0,Mkt&Fin,67.45,Not Placed,301088.0
3693,M,74.63,Others,78.7,Central,Commerce,59.67,Comm&Mgmt,No,78.69,Mkt&HR,72.8,Placed,
3694,F,76.88,Others,73.41,Central,Science,66.7,Sci&Tech,Yes,98.0,Mkt&Fin,75.57,Placed,303684.0
3695,M,58.87,Others,51.99,Central,Commerce,65.68,Comm&Mgmt,No,81.29,Mkt&Fin,60.8,Not Placed,249700.0
3696,F,55.25,Central,66.59,Others,Science,80.31,Comm&Mgmt,No,98.0,Mkt&HR,77.89,Placed,334204.0
3697,M,63.64,Central,72.28,Central,Commerce,70.9,Comm&Mgmt,No,76.1,Mkt&Fin,73.84,Placed,312745.0
3698,M,84.38,Others,66.98,Central,Science,81.67,Others,No,89.75,Mkt&Fin,63.5,Not Placed,319632.0
3699,M,85.51,Central,50.51,Others,Science,74.34,Comm&Mgmt,No,83.08,Mkt&HR,77.18,Not Placed,
3700,M,89.4,Others,82.75,Others,Science,91.0,Comm&Mgmt,No,98.0,Mkt&Fin,74.78,Placed,200000.0
3701,F,77.69,Others,81.19,Central,Science,56.03,Sci&Tech,Yes,98.0,Mkt&Fin,71.77,Not Placed,
3702,M,40.89,Central,55.16,Central,Science,86.66,Comm&Mgmt,No,87.17,Mkt&HR,76.92,Not Placed,
3703,M,40.89,Others,64.72,Central,Science,75.89,Comm&Mgmt,No,70.94,Mkt&HR,51.21,Placed,331371.0
3704,F,52.79,Others,68.78,Central,Commerce,71.98,Comm&Mgmt,No,60.72,Mkt&HR,62.95,Placed,385338.0
3705,M,67.2,Central,56.32,Central,Science,67.26,Comm&Mgmt,No,98.0,Mkt&HR,77.89,Placed,
3706,M,71.98,Others,73.08,Others,Science,59.46,Sci&Tech,No,66.2,Mkt&HR,75.67,Placed,
3707,M,56.06,Central,60.45,Central,Commerce,67.57,Comm&Mgmt,Yes,98.0,Mkt&HR,56.57,Not Placed,
3708,M,85.82,Central,79.81,Others,Science,66.68,Sci&Tech,No,95.47,Mkt&Fin,66.33,Not Placed,276462.0
3709,M,40.89,Central,58.38,Central,Science,84.79,Comm&Mgmt,No,98.0,Mkt&HR,71.3,Not Placed,
3710,M,64.33,Central,56.78,Others,Science,71.12,Comm&Mgmt,No,98.0,Mkt&Fin,77.89,Not Placed,265499.0
3711,M,89.4,Others,37.0,Central,Science,78.44,Comm&Mgmt,No,98.0,Mkt&Fin,70.77,Not Placed,
3712,M,40.89,Others,52.02,Others,Science,73.72,Comm&Mgmt,No,90.34,Mkt&HR,69.35,Placed,275554.0
3713,F,40.89,Central,80.1,Central,Commerce,50.0,Comm&Mgmt,No,98.0,Mkt&Fin,75.32,Placed,
3714,F,65.83,Central,86.5,Central,Science,85.29,Comm&Mgmt,No,82.27,Mkt&Fin,71.53,Not Placed,
3715,M,75.23,Others,75.84,Others,Commerce,89.13,Comm&Mgmt,No,98.0,Mkt&Fin,77.33,Placed,
3716,M,76.33,Central,75.93,Others,Science,73.55,Comm&Mgmt,Yes,98.0,Mkt&Fin,73.2,Not Placed,289941.0
3717,M,59.05,Others,71.62,Central,Science,76.27,Comm&Mgmt,No,59.68,Mkt&Fin,66.31,Not Placed,310778.0
3718,M,61.68,Central,79.89,Central,Science,59.53,Others,No,98.0,Mkt&HR,73.41,Placed,
